DAY CARE CENTER,A BRIGHTER FUTURE PRESCHOOL & CDC,CLOSED,1,1,3422 TRIPP COURT,SAN DIEGO,92121
DAY CARE CENTER,A CHILD'S CENTER OF WONDER & DISCOVERY,CLOSED,0,0,9841 VINE STREET,LAKESIDE,92040
DAY CARE CENTER,A CHILDREN'S GARDEN - ENCINITAS,LICENSED,0,0,2241 WHISPER WIND LANE,ENCINITAS,92024
DAY CARE CENTER,A CHILDREN'S GARDEN - LEUCADIA,LICENSED,0,0,1421 BURGUNDY ROAD,ENCINITAS,92024
DAY CARE CENTER,A CHILDREN'S GARDEN - VISTA,INACTIVE,0,0,152 GRAPEVINE ROAD,VISTA,92083
DAY CARE CENTER,A CREATIVE BEGINNING,CLOSED,0,0,1701 N. SANTA FE AVENUE,VISTA,92084
DAY CARE CENTER,A PLACE OF OUR OWN CDC,CLOSED,0,0,1851 E. WASHINGTON AVENUE,ESCONDIDO,92027
DAY CARE CENTER,A PLACE OF OUR OWN CDC & SCHOOL-AGE PROGRAM/ASH,LICENSED,0,0,120 N ASH STREET,ESCONDIDO,92027
DAY CARE CENTER,A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER,LICENSED,0,0,2355 E VALLEY PARKWAY,ESCONDIDO,92027
DAY CARE CENTER,A RISING STAR ACADEMY CHILDCARE CENTER INC.,LICENSED,0,0,169 ROYMAR ROAD,OCEANSIDE,92058
DAY CARE CENTER,ABC BARN CHILDREN'S PLACE,LICENSED,1,0,10842 FURY LANE,LA MESA,91941
DAY CARE CENTER,ABC CHILDREN'S CENTER AT SAN DIEGO,LICENSED,0,0,12145 ALTA CARMEL COURT #270,SAN DIEGO,92128
DAY CARE CENTER,ACADEMY AT BRIGHT HORIZONS THE,LICENSED,0,0,2232 ENCINITAS BOULEVARD,ENCINITAS,92024
DAY CARE CENTER,ACADEMY OF PLAY,PENDING,0,0,7255 UNIVERSITY AVENUE,LA MESA,91942
DAY CARE CENTER,ACADEMY OF PLAY,LICENSED,0,0,892 EAST MADISON AVENUE,EL CAJON,92020
DAY CARE CENTER,ADAMS STATE PRESCHOOL,LICENSED,0,0,4672 35TH STREET,SAN DIEGO,92116
DAY CARE CENTER,ADOBE BLUFFS PRESCHOOL,LICENSED,0,0,8707 ADOBE BLUFFS DRIVE,SAN DIEGO,92129
DAY CARE CENTER,ADVENTURE DAYS,CLOSED,0,0,10881 TIERRASANTA BLVD,SAN DIEGO,92124
DAY CARE CENTER,ADVENTURE DAYS PRESCHOOL,LICENSED,1,3,10881 TIERRASANTA BOULEVARD,SAN DIEGO,92124
DAY CARE CENTER,ADVENTURE POINT EARLY LEARNING CENTER,LICENSED,0,0,1805 EAST 17TH STREET,NATIONAL CITY,91950
DAY CARE CENTER,ADVENTURELAND CHRISTIAN PRESCHOOL,LICENSED,0,2,1305 DEODAR RD. STE. 100,ESCONDIDO,92026
DAY CARE CENTER,AKA - VISTA LA MESA HEAD START,LICENSED,0,0,3900 VIOLET STREET,LA MESA,91941
DAY CARE CENTER,AKA HEAD START - CASA DE ORO,LICENSED,0,0,10235A RAMONA DRIVE,SPRING VALLEY,91977
DAY CARE CENTER,AKA HEAD START - DARNALL,LICENSED,0,0,6020 HUGHES STREET,SAN DIEGO,92115
DAY CARE CENTER,AKA HEAD START - FARRAGUT CIRCLE,LICENSED,0,1,490 FARRAGUT CIRCLE,EL CAJON,92020
DAY CARE CENTER,AKA HEAD START - GRANADA,LICENSED,0,0,3920 NORTH GRANADA AVENUE,SPRING VALLEY,91977
DAY CARE CENTER,AKA HEAD START - GRAND,LICENSED,0,0,905 GRAND AVENUE,SPRING VALLEY,91977
